,value,unit,serialNumber
2020-03-05 00:05:04+00:00,19,C,00158D000192D255
2020-03-05 00:20:04+00:00,19,C,00158D000192D255
2020-03-05 00:35:04+00:00,19,C,00158D000192D255
2020-03-05 00:50:04+00:00,19,C,00158D000192D255
2020-03-05 01:05:04+00:00,19,C,00158D000192D255
2020-03-05 01:20:04+00:00,19,C,00158D000192D255
2020-03-05 01:35:04+00:00,19,C,00158D000192D255
2020-03-05 01:50:04+00:00,19,C,00158D000192D255
2020-03-05 02:05:04+00:00,19,C,00158D000192D255
2020-03-05 02:20:04+00:00,19,C,00158D000192D255
2020-03-05 02:35:04+00:00,19,C,00158D000192D255
2020-03-05 02:50:04+00:00,19,C,00158D000192D255
2020-03-05 03:05:04+00:00,19,C,00158D000192D255
2020-03-05 03:20:04+00:00,19,C,00158D000192D255
2020-03-05 03:35:04+00:00,19,C,00158D000192D255
2020-03-05 03:50:04+00:00,19,C,00158D000192D255
2020-03-05 04:05:04+00:00,19,C,00158D000192D255
2020-03-05 04:20:04+00:00,19,C,00158D000192D255
2020-03-05 04:35:04+00:00,19,C,00158D000192D255
2020-03-05 04:50:04+00:00,19,C,00158D000192D255
2020-03-05 05:05:04+00:00,19,C,00158D000192D255
2020-03-05 05:20:04+00:00,19,C,00158D000192D255
2020-03-05 05:35:04+00:00,19,C,00158D000192D255
2020-03-05 05:50:04+00:00,19,C,00158D000192D255
2020-03-05 06:00:09+00:00,22,C,00158D000192D255
2020-03-05 06:05:04+00:00,22,C,00158D000192D255
2020-03-05 06:20:04+00:00,22,C,00158D000192D255
2020-03-05 06:35:04+00:00,22,C,00158D000192D255
2020-03-05 06:50:04+00:00,22,C,00158D000192D255
2020-03-05 07:05:04+00:00,22,C,00158D000192D255
2020-03-05 07:20:04+00:00,22,C,00158D000192D255
2020-03-05 07:35:04+00:00,22,C,00158D000192D255
2020-03-05 07:39:41+00:00,22,C,00158D000192D255
2020-03-05 07:41:54+00:00,22,C,00158D000192D255
2020-03-05 07:56:54+00:00,22,C,00158D000192D255
2020-03-05 08:21:13+00:00,22,C,00158D000192D255
2020-03-05 08:21:16+00:00,22,C,00158D000192D255
2020-03-05 08:36:16+00:00,22,C,00158D000192D255
2020-03-05 08:51:16+00:00,22,C,00158D000192D255
