,value,unit,serialNumber
2020-10-13 00:02:32+00:00,31,%,00158D000192D255
2020-10-13 00:04:32+00:00,27,%,00158D000192D255
2020-10-13 00:05:04+00:00,27,%,00158D000192D255
2020-10-13 00:08:34+00:00,32,%,00158D000192D255
2020-10-13 00:20:04+00:00,32,%,00158D000192D255
2020-10-13 00:35:04+00:00,32,%,00158D000192D255
2020-10-13 00:38:51+00:00,36,%,00158D000192D255
2020-10-13 00:50:04+00:00,36,%,00158D000192D255
2020-10-13 01:05:04+00:00,36,%,00158D000192D255
2020-10-13 01:20:04+00:00,36,%,00158D000192D255
2020-10-13 01:21:13+00:00,40,%,00158D000192D255
2020-10-13 01:35:04+00:00,40,%,00158D000192D255
2020-10-13 01:45:24+00:00,45,%,00158D000192D255
2020-10-13 01:50:04+00:00,45,%,00158D000192D255
2020-10-13 02:05:04+00:00,45,%,00158D000192D255
2020-10-13 02:15:37+00:00,49,%,00158D000192D255
2020-10-13 02:17:39+00:00,45,%,00158D000192D255
2020-10-13 02:20:04+00:00,45,%,00158D000192D255
2020-10-13 02:29:43+00:00,51,%,00158D000192D255
2020-10-13 02:35:04+00:00,51,%,00158D000192D255
2020-10-13 02:50:04+00:00,51,%,00158D000192D255
2020-10-13 03:05:04+00:00,51,%,00158D000192D255
2020-10-13 03:14:06+00:00,47,%,00158D000192D255
2020-10-13 03:18:09+00:00,42,%,00158D000192D255
2020-10-13 03:20:04+00:00,42,%,00158D000192D255
2020-10-13 03:20:09+00:00,38,%,00158D000192D255
2020-10-13 03:22:09+00:00,35,%,00158D000192D255
2020-10-13 03:24:10+00:00,31,%,00158D000192D255
2020-10-13 03:26:10+00:00,27,%,00158D000192D255
2020-10-13 03:28:10+00:00,23,%,00158D000192D255
2020-10-13 03:32:17+00:00,20,%,00158D000192D255
2020-10-13 03:34:13+00:00,16,%,00158D000192D255
2020-10-13 03:35:04+00:00,16,%,00158D000192D255
2020-10-13 03:38:16+00:00,11,%,00158D000192D255
2020-10-13 03:44:22+00:00,7,%,00158D000192D255
2020-10-13 03:50:04+00:00,7,%,00158D000192D255
2020-10-13 03:50:23+00:00,2,%,00158D000192D255
2020-10-13 04:05:04+00:00,2,%,00158D000192D255
2020-10-13 04:20:04+00:00,2,%,00158D000192D255
2020-10-13 04:34:44+00:00,2,%,00158D000192D255
2020-10-13 04:35:30+00:00,2,%,00158D000192D255
2020-10-13 04:44:49+00:00,6,%,00158D000192D255
2020-10-13 04:46:49+00:00,10,%,00158D000192D255
2020-10-13 04:50:31+00:00,10,%,00158D000192D255
2020-10-13 05:00:55+00:00,15,%,00158D000192D255
2020-10-13 05:05:31+00:00,15,%,00158D000192D255
2020-10-13 05:17:02+00:00,20,%,00158D000192D255
2020-10-13 05:20:31+00:00,20,%,00158D000192D255
2020-10-13 05:33:14+00:00,24,%,00158D000192D255
2020-10-13 05:35:31+00:00,24,%,00158D000192D255
2020-10-13 05:39:15+00:00,21,%,00158D000192D255
2020-10-13 05:45:16+00:00,17,%,00158D000192D255
2020-10-13 05:49:17+00:00,13,%,00158D000192D255
2020-10-13 05:50:31+00:00,13,%,00158D000192D255
2020-10-13 05:55:19+00:00,10,%,00158D000192D255
2020-10-13 06:05:31+00:00,10,%,00158D000192D255
2020-10-13 06:07:29+00:00,6,%,00158D000192D255
2020-10-13 06:20:31+00:00,6,%,00158D000192D255
2020-10-13 06:35:31+00:00,6,%,00158D000192D255
2020-10-13 06:43:44+00:00,10,%,00158D000192D255
2020-10-13 06:50:31+00:00,10,%,00158D000192D255
2020-10-13 07:05:31+00:00,10,%,00158D000192D255
2020-10-13 07:09:37+00:00,10,%,00158D000192D255
